"","Ticket Latitude","Ticket Longitude","Address Latitude","Address Longitude","Difference Latitude","Difference Longitude"
"1",34.1461233,-118.13856,34.146245,-118.138315,0.000121700000001113,0.000244999999992501
"2",34.1496816,-118.14357,34.149454,-118.14416,0.000227600000002326,0.000590000000002533
"3",34.14401,-118.13218,34.144212,-118.132411,0.00020200000000159,0.000230999999999426
"4",34.1445533,-118.13131,34.144482,-118.131701,7.12999999947783e-05,0.00039100000000758
"5",34.1458633,-118.13641,34.145951,-118.135974,8.76999999945838e-05,0.000435999999993442
"6",34.1504333,-118.1476,34.150343,-118.148234,9.03000000036513e-05,0.00063400000000513
"7",34.1504333,-118.14775,34.150343,-118.148234,9.03000000036513e-05,0.000484000000000151
"8",34.1458916,-118.13324,34.145968,-118.133479,7.64000000046394e-05,0.000238999999993439
"9",34.1496483,-118.14365,34.149454,-118.14416,0.000194300000003977,0.000510000000005562
"10",34.147285,-118.13124,34.147311,-118.131776,2.60000000054106e-05,0.000535999999996761
"11",34.14725,-118.13205,34.147308,-118.132087,5.80000000027781e-05,3.69999999918491e-05
"12",34.1501716,-118.1451,34.149608,-118.14505,0.000563599999999553,5.00000000016598e-05
"13",34.1501216,-118.14518,34.149758,-118.145201,0.000363600000000019,2.10000000038235e-05
"14",34.1394816,-118.13229,34.139656,-118.132226,0.000174399999998798,6.39999999947349e-05
"15",34.14883,-118.1443,34.149457,-118.144361,0.000627000000001487,6.10000000023092e-05
"16",34.1500916,-118.14519,34.149758,-118.145201,0.000333600000004708,1.10000000006494e-05
"17",34.1486983,-118.14441,34.149457,-118.144361,0.000758699999998669,4.89999999899737e-05
"18",34.1445333,-118.13633,34.144599,-118.137149,6.57000000003904e-05,0.000818999999992798
"19",34.1429466,-118.14115,34.143258,-118.14145,0.000311400000001072,0.000300000000009959
"20",34.1384466,-118.13238,34.13882,-118.132221,0.000373400000000856,0.000158999999996468
"21",34.1431716,-118.14142,34.143581,-118.141379,0.00040939999999523,4.09999999959609e-05
"22",34.1398233,-118.13239,34.140223,-118.132379,0.000399699999995562,1.10000000006494e-05
"23",34.1412033,-118.14294,34.140737,-118.142799,0.000466299999999364,0.000140999999999281
"24",34.1414633,-118.14296,34.141544,-118.142955,8.07000000051517e-05,5.00000000158707e-06
"25",34.148915,-118.1429,34.14907,-118.142874,0.000154999999999461,2.59999999911997e-05
"26",34.148665,-118.14294,34.149037,-118.142873,0.000371999999998707,6.70000000013715e-05
"27",34.148125,-118.14417,34.147706,-118.144199,0.000419000000000835,2.89999999978363e-05
"28",34.1688866,-118.1347,34.168885,-118.135001,1.59999999738147e-06,0.000301000000007434
"29",34.1378483,-118.11854,34.13789,-118.1186,4.16999999970358e-05,6.0000000004834e-05
"30",34.1462366,-118.14405,34.146623,-118.144337,0.000386399999996456,0.000287000000000148
"31",34.129545,-118.15031,34.129268,-118.1504,0.000276999999996974,9.00000000001455e-05
"32",34.1487166,-118.14442,34.149457,-118.144361,0.000740399999997976,5.89999999931479e-05
"33",34.1464933,-118.15226,34.146512,-118.15216,1.86999999982618e-05,0.00010000000000332
"34",34.1254883,-118.15097,34.125554,-118.150888,6.57000000003904e-05,8.20000000061327e-05
"35",34.1399283,-118.13239,34.140223,-118.132379,0.000294699999997761,1.10000000006494e-05
"36",34.1544066,-118.1145,34.154434,-118.114789,2.74000000004548e-05,0.000288999999995099
